title,summary
How to Become an Overnight Expert in Everything,"My own family once treated me like I was nobody, and it took me years to build the confidence that proved them wrong."
The Lady in White,I watched a stranger on the train and built an entire life for her in my head before she ever looked up.
How to Be (Mostly) Okay,"Some mornings my only real goal is getting to okay, and I've stopped apologizing for that."
After You,"I still feel you in rooms you've already left, and I don't know what to do with that."
The Age of Connected Disconnection,"I reach for my phone before I've even opened my eyes, and I'm starting to wonder what that's costing me."
Finding the Signal in a World of Status Updates,Scrolling through everyone's curated wins made me ask what I'm actually chasing when I post mine.
This Unpredictable Life,"I keep colliding with strangers and moments I never saw coming, and somehow that's the whole point."
Probability Is Everywhere - Here's How to Use It Smarter,"I don't gamble, or so I thought, until I noticed how many bets I place every single day."
Flicker and Flame: How Death Teaches Us to Live,"I went back and reread my own words about chaos and mortality, and they hit differently this time."
Kissing Today,"I had to choose between chasing an old memory and staying here, in this one."
Lies We Tell Ourselves,"I keep waiting for my life to look like the one I imagined, and I finally asked why I expected that in the first place."
"Half Full, Half Empty","I keep staring at the same glass, unable to decide which version of us I actually believe."
"Every Gesture, Every Glance",Every small thing you do keeps convincing me I noticed the right person.
Shifting Lens,The choices I once regretted look completely different depending on which day I examine them.
Mirror,I finally looked past my own reflection and saw something I'd been avoiding.
A Flame Once Loved,I keep trying to warm myself on something that's already gone out.
Ash and Fire,My pride and my longing keep burning the same thing down.
The Joy of Single hood,"I married someone I didn't choose, and it took me years to understand what came after that."
"Life's Absurdities, One Therapy Quote at a Time","I got through another chaotic morning on caffeine and half-remembered therapy quotes, and somehow it worked."
From Stranger to Soulmate,I still remember the exact moment you stopped being someone I didn't know.
Romancing a Beautiful Woman,"I can't stop noticing every detail of you, and I've given up pretending otherwise."
The Cost of Our Failures,I watched him cook dinner with effortless grace and spent the rest of the night quietly measuring myself against it.
"Shiny Floors, Same Ghosts",The stains in our old carpet turned out to be the only honest record of our family's history.
Dopamine Effect,"I keep chasing that same rush of anticipation, even though I already know how the letdown feels."
"Once, We Danced",One dance was enough to wake up feelings I thought I'd buried.
Through My Eyes,I sat and watched strangers pass by and couldn't stop wondering what today looks like through their eyes instead of mine.
The Many Myths of Perfect Living,"I keep chasing the right olive oil, the right couch, the right everything, and calling it progress."
The Currency of Life,"My kid wanted expensive sneakers, and I found myself trying to explain what money actually means."
The Beautiful Absurdity of Waking Up,"Every morning I negotiate with myself over getting out of bed, and I still haven't figured out who wins."
The Pale Blue Dot,"Knowing how small our planet really is somehow made the love I have here feel bigger, not smaller."
Close Your Eyes,I asked you to close your eyes so we could both remember what we're at risk of forgetting.
The Chaos of Now: Is It All in My Head?,"It's 3am and my mind won't stop talking, so I decided to finally listen to what it's saying."
Life's Little Scams: A Comedy of Errors,"I got scammed out of money over Zelle, and somehow I can't decide if I'm angrier or more amused."
Navigating Daily Frustrations,"One bad morning cascaded into another, and I'm still figuring out how much of that was actually about me."
A Journey from Rituals to Self-Discovery,"I refused to pray the way I was expected to, and that refusal cracked something open in me."
Echoes of Lost Dreams,I keep hearing what my dreams used to sound like before life got louder.
Leashed by Technology: The Adventures of Elon the Human Pet,"I imagined a future where AI decided humans needed adopting, and I laughed less than I expected to."
Adventures in Stupidity,I did something so avoidably dumb in a parking lot that I had no choice but to write about it.
Embracing the Present: A Simple Framework for Joyful Living,"A bottle shattered on my kitchen floor and, oddly, pulled me straight back into the present moment."
A Satirical Take on the Wild Rollercoaster of the USA,I tried to make sense of a year that felt less like news and more like a rollercoaster nobody agreed to ride.
Page Turn: Whispers of Time,A single book pulled me through more emotions than I expected a few hundred pages to hold.
Uncharted Territory: Embracing the Journey of Defining Your Own Path,"I wrote my son a letter about leaving for college, and ended up reminding myself of the same thing."
Two Couples,I watched two couples across the room and couldn't stop comparing what closeness looks like from a distance.
This is Life,I stopped needing applause to believe my life meant something.
Eternal Embrace,I've started to believe love and loss were never really separate from each other.
My Philosophy,"I finally tried to write down what I actually believe, instead of what I think I'm supposed to."
A Promise,"I have a drawer full of ideas I never finished, and I'm still not sure what that says about me."
Gold Medal in Overthinking,"If overthinking were an Olympic sport, I'd have a shelf full of medals and no idea how I got there."
Stupid Love,"I built an entire relationship in my head from one glance at a stranger, and I'm not even a little sorry."
"Time's Cruel Joke: A Journey of Love, Loss, and Reflection","Something about this new relationship felt oddly familiar, and I still can't decide if that's comforting or a warning."
Obsessing over Time,"I ran into someone from my past in a hardware store parking lot, and it undid me more than I expected."
Subscriptions: Cancel Me If You Can,"I just wanted to cancel a subscription, and instead I got a masterclass in how badly companies don't want to let me go."
Dreams,"I keep a running list of things I want, and it grows faster than I can chase any of them."
Sometimes ..,"Some memories comfort me and some ambush me, and I never know which one is coming."
Rewind - an unfinished story,"The plane shook so violently I genuinely thought that flight might be my last, and I still think about what almost happened."
Mom,"I watched the flames take my mother, and somehow, in that moment, I finally felt at peace."
London - a modern city with history,"Walking through a city built on centuries of history, I felt oddly at home in something so much older than me."
"New World - iPhone, iWatch etc",I watched a driver text at a red light and couldn't shake the feeling that we've all quietly agreed to something dangerous.
Bullet,I can't stop asking why our laws haven't caught up to the world we're actually living in.
2,I keep circling back to the same idea: the present is the only thing I actually own.
Let it be,"Every morning I try, badly and repeatedly, to put yesterday's regrets down before I pick them back up."
Life - Yet Another View,"I went looking through history for an answer to what life is actually for, and came back with more questions."
Death - the Ultimate Truth,I keep wondering why we'll talk about almost anything except the one thing guaranteed to happen to all of us.
God,Reading Dawkins made me argue with my own beliefs more honestly than I have in years.
Maya,"Thinking about how small we are in the universe somehow makes me care more about the people in front of me, not less."
The Green Card Diary,"I arrived in America in the early '90s with more hope than plan, and I'm still not sure which one carried me further."
Corona Virus - A Love Story,I started thinking of the pandemic as a dangerous lover none of us asked to fall for.
Dark Love,A stranger's glance on a crowded train pulled something out of me I wasn't expecting.
Love,"I keep believing in love stories that, so far, have mostly ended in me being alone."
"Appa, The Voice That Echoes Through Time","My son calling out ""Appa"" stopped me cold and pulled my own father right back into the room."
The Morning,"Every day the river renews itself, and I keep wondering if I'm capable of doing the same."
Me,"I tried to answer who I actually am underneath writer, technologist, father, and son, and I'm still not done."
Tajmahal,"Standing in front of a monument built for love, I couldn't help wondering what I'd build for mine."
Maggie,A dog chasing attention at the pool reminded me how simple wanting to be noticed can be.
Await ..,I'm holding onto hope even when everything in me feels exhausted by waiting for it.
House of Emotions,"I keep letting the loudest feeling in the room win, and I'm trying to understand why."
The Relationship Quandary,I've stopped expecting certainty from this relationship and started trying to make peace with not having it.
Dream Girl,"I wasn't looking for anything more than friendship, and then, somehow, I was."
The Relationship Tango,"I married a stranger in the '90s and had to learn, fast, what trust actually means."
Corona Virus,My own family reacted so differently to the same lockdown that I started to see each of them clearly for the first time.
Awakening,"I let go of wanting things, and something quieter finally had room to show up."
Darkness of the Night,"I still get haunted, some nights, by someone who isn't here anymore."
Life Philosophies,"I keep making the same list of things I'm trying to let go of, and I keep needing to make it again."
Let it go,I'm learning that holding on tightly to outcomes is the fastest way to miss what's actually happening.
Seesaw,"This ended, and I still haven't figured out how to stop feeling the tilt of it."
Those were the days,"I keep going back, in my head, to a version of love that was simpler than I knew at the time."
Pillars of My Life,"My mother and my aunt taught me what strength actually looks like, and I'm still leaning on what they built in me."
She,There's a presence that shows up in my quietest moments and somehow makes them feel less alone.
Broken,I watched someone who once seemed unstoppable slowly become someone age could reach.
Lost,I'm watching someone I love struggle to recognize the life she's standing in.
25,I keep wondering who's actually holding the reins of the life I think I'm steering.
Life Explained,"I went looking for one clean definition of life and, unsurprisingly, never found it."
Shadowed love,"I've been keeping a companion no one else can see, and it never quite leaves."
Moments,"I keep collecting the tiny moments that, without me noticing, ended up defining everything."
The Old Man and The Girl,I can't stop watching this and wondering what pulled them together in the first place.
50,"I can feel the past pulling at me from one side and the future from the other, and I'm standing right in the middle."
The Road,"I'm standing at a fork between the quiet path and the crowded one, and I still haven't picked."
The Mansion,"Behind all that visible wealth, I noticed something quietly falling apart that no one else seemed to see."
I want to sing a song,"I just want someone to actually hear me, not just listen."
Strawberry Honey,"I lost myself completely in one dance, one moment, with you."
Pause,I keep chasing outside approval when the Gita's been telling me all along to look inward instead.
Whisper of Love,"We didn't need words on that walk, and I still think about the silence."
Cold Water,The shock of jumping in was nothing compared to how good it felt once I stopped resisting it.
Sitting in a Crowded Train,I watched the rain and the strangers around me and lost track of which thoughts were even mine.
Beautiful Dear,I keep finding new moments in the day to remind you how much you mean to me.
Conversation with Life,"I keep trying to understand what ""letting go"" actually requires of me, moment to moment."
Into the Wilderness,Stepping into the unknown terrified me right up until it didn't.
Shades of Tree,I found more comfort under one tree on a hot day than I expected from anything else that week.
Departed,"Grief showed up the same week as a stack of mundane errands, and I had to hold both at once."
Dreams of Hope,I keep circling back to a love that once felt promising and never quite resolved.
Those Lazy Days,I miss the version of us that had nowhere better to be than a rooftop.
Threshold,"I'm standing right at the edge of something new, and I can't tell yet if I'm ready."
Breaking Free,"Leaving India as a young adult taught me that choosing the unfamiliar path is a habit, not a one-time decision."
The Invite,"The diagnosis came, and so did an anger I didn't know I was capable of."
Signature,"I keep wondering what mark I'm actually leaving behind, and whether anyone will notice it."
Zombies,I watched an entire train car of people stare at their phones and realized I probably looked exactly the same.
Utopia,I'm tired of chasing a version of hope that keeps turning out to be false.
Our Strange World,"I can feel us drifting further apart, even sitting in the same room."
That Little Moment,There's one moment I keep replaying that never quite resolves itself.
Be a Good Little Monkey,My toddler's mischief today reminded me how much joy there is in not taking any of this too seriously.
The Ghost,"Watching the sunset, I could have sworn I felt you standing right beside me again."
Wrong Signal,"I thought I was being clear, and somehow my own spouse read it completely backwards."
Tap Tap Tap,I caught myself updating my status again before I'd even decided if anything worth saying had happened.
Two Worlds,"My son and I sit two feet apart, him in a video game and me in the stock market, and neither of us is really looking up."
Glimmer of Hope,One embrace was enough to convince me the passion hadn't actually gone anywhere.
15,We're still going through the motions of something that stopped meaning what it used to.
An elephant wins a friend,"I wrote about a lonely elephant looking for a friend in the city, and I'm not sure who I was really writing about."
Strangers,"We're bound together by circumstance, and somehow that's not the same as being close."
Wrinkles on the face,I looked in the mirror and had to make peace with everything the lines on my face are keeping score of.
Waiting for Her,I woke up to a relationship I almost didn't recognize anymore.
Reflection,"I sat still long enough to actually notice the rain, the wind, and the light changing."
Dr Jekyll and Mr Hyde,I can feel two very different versions of myself fighting for the same seat.
The Shrine of Disney,The anticipation leading up to that trip turned out to be its own kind of magic.
Break up,"I watched my parents' marriage end as a kid, and I'm still sorting through what that left behind."
The Drunkard,Everyone else could see it before I let myself admit how far gone I actually was.
The Flirt,One glance from a stranger was enough to keep my mind wandering long after the train ride ended.
Growing Apart,I can trace the exact moment our priorities stopped lining up.
Living the Dead Life,I keep chasing the next stage of life instead of actually living the one I'm in.
One Way Street,"I'm raising a child while time keeps moving in a direction I can't reverse, and I feel every bit of that."
Angry,"I'm angry at the world, at other people, and honestly, mostly at myself."
Is she the one?,I keep comparing two very different women and wondering if that question even has a real answer.
After the ..,"I'm sitting with the quiet, complicated aftermath of a night I can't stop replaying."
First Day at School,"I was more nervous than my kid was on their first day of school, and I'm still not over it."
Frozen Tears,I can't shake what happened to a child who never should have had to endure it.
Perfect Partner,"I found the one place I can fully exhale, and it's whenever I'm with you."
The Game,"I keep telling myself this was just a game, and I'm not sure either of us believed that."
Broken Leg,I watched someone who once held a family together get left to manage alone.
Nothing but Lust,"I wanted to call it more than what it was, and some nights I still do."
Desire,A stranger's glance on a crowded train pulled a longing out of me I wasn't prepared for.
Memory,"I still set two cups of coffee out of habit, long after only needing one."
Little World,"At nine months old, apparently, I already had opinions about everything."
Beautiful,"I couldn't stop noticing her, sitting there on the train, and I'm still thinking about why."
You and Me,"The whole world keeps changing around us, and somehow we're the one constant I can count on."
What have you done for me?,One careless sentence from someone I loved is still living rent-free in my head.
Caught Between Two Worlds,"Watching the sunset, I found myself asking, again, whether it's finally time to move back to India."
Made for Each Other,"We were supposed to fit, and I'm still trying to understand why we never quite did."
In love with Loneliness,Loneliness has become such a familiar companion that I'm not sure I know how to be without it.
Death,I've started to think of death less as an ending to fear and more as a destination I'm already walking toward.
Falling in Love,"One unplanned encounter and, before I knew it, we were sharing a kiss neither of us expected."
If Only ..,"I never told you how I felt, and now I just carry the ""what if."""
Pooja,"I wasn't expecting fireworks when I met her, and that might be exactly why it worked."
Memories of Another Day,I keep getting pulled back into people and places I thought I'd already left behind.
Love in the Aisles,"I've kept my guard up since I got hurt, and somehow, in a bookstore of all places, it started coming down."
"Navigating Life's Three Big Ideas: Probability, Fatalism, and Realism",I've been testing three different ways of making peace with how little I actually control.
God Unveiled: A Fresh Perspective on Divine Interpretation,"I went back and questioned everything I was taught to believe about God, and I didn't come back with easy answers."
A Spirited Adventure: My Misadventures with Alcohol,"I'm finally telling the truth about my long, complicated relationship with drinking."
